player,birth_state
Caron Butler,Wisconsin
Carrick Felix,Arizona
Cartier Martin,Texas
Casey Jacobsen,California
Casey Shaw,Ohio
Casper Ware,California
Cazzie Russell,Illinois
Cedric Ball,Massachusetts
Cedric Bozeman,California
Cedric Ceballos,Hawaii
Cedric Henderson,Georgia
Cedric Hunter,Texas
Cedric Jackson,New Mexico
Cedric Lewis,District of Columbia
Cedric Maxwell,North Carolina
Cedric Simmons,North Carolina
Cedrick Hordges,Alabama
Cezary Trybanski,Poland
Chad Gallagher,Illinois
Chad Kinch,New Jersey
Chandler Parsons,Florida
Channing Frye,New York
Charles Barkley*,Alabama
Charles Bradley,Maryland
Charles Claxton,U.S. Virgin Islands
Charles Davis,New York
Charles Dudley,Pennsylvania
Charles Jenkins,New York
Charles Johnson,Texas
Charles Jones,Arkansas
Charles Oakley,Ohio
Charles O'Bannon,California
Charles Pittman,North Carolina
Charles Shackleford,North Carolina
Charles Smith,Connecticut
Charles Thomas,Ohio
Charlie Bell,Michigan
Charlie Black,Idaho
Charlie Criss,New York
Charlie Davis,New York
Charlie Hardnett,Georgia
Charlie Paulk,Georgia
Charlie Scott,New York
Charlie Sitton,Oregon
Charlie Tyra,Kentucky
Charlie Villanueva,New York
Charlie Ward,Georgia
Chase Budinger,California
Chasson Randle,Illinois
Chauncey Billups,Colorado
Cheese Johnson,Texas
Cheick Diallo,Mali
Chet Walker*,Mississippi
Chick Halbert,Texas
Chico Vaughn,Oregon
Chinanu Onuaku,Maryland
Chink Crossin,Pennsylvania
Chris Andersen,California
Chris Anstey,Australia
Chris Babb,Texas
Chris Bosh,Texas
Chris Carr,Missouri
Chris Childs,California
Chris Copeland,New Jersey
Chris Corchiani,Florida
Chris Crawford,Michigan
Chris Douglas-Roberts,Michigan
Chris Dudley,Pennsylvania
Chris Duhon,Louisiana
Chris Engler,Minnesota
Chris Ford,New Jersey
Chris Garner,Tennessee
Chris Gatling,New Jersey
Chris Harris,United Kingdom
Chris Herren,Massachusetts
Chris Hunter,Indiana
Chris Jefferies,California
Chris Jent,California
Chris Johnson,Texas
Chris Kaman,Michigan
Chris King,North Carolina
Chris McCray,Maryland
Chris McCullough,New York
Chris McNealy,California
Chris Mihm,Wisconsin
Chris Mills,California
Chris Morris,Georgia
Chris Mullin*,New York
Chris Munk,California
Chris Owens,Ohio
Chris Paul,North Carolina
Chris Porter,Alabama
Chris Quinn,Louisiana
Chris Richard,Florida
Chris Robinson,Georgia
Chris Singleton,Georgia
Chris Smith,Connecticut
Chris Taft,New York
Chris Washburn,North Carolina
Chris Webber,Michigan
Chris Welp,Germany
Chris Whitney,Kentucky
Chris Wilcox,North Carolina
Chris Wright,Ohio
Christian Eyenga,Democratic Republic of the Congo
Christian Laettner,New York
Christian Wood,California
Chubby Cox,Pennsylvania
Chuck Aleksinas,Connecticut
Chuck Grigsby,Ohio
Chuck Hayes,California
Chuck Mencel,Wisconsin
Chuck Nevitt,Colorado
Chuck Person,Alabama
Chuck Terry,California
Chuck Williams,Colorado
Chuckie Williams,Colorado
Chucky Atkins,Florida
Chucky Brown,New York
Clarence Glover,Kentucky
Clarence Kea,North Carolina
Clarence Weatherspoon,Mississippi
Clark Kellogg,Ohio
Claude English,Georgia
Claude Gregory,District of Columbia
Claude Terry,California
Clay Johnson,Florida
Cleanthony Early,New York
Clem Haskins,Kentucky
Clemon Johnson,Florida
Cleo Hill,New Jersey
Cleveland Buckner,Mississippi
Cliff Alexander,Illinois
Cliff Barker,Indiana
Cliff Hagan*,Kentucky
Cliff Levingston,California
Cliff Meely,Mississippi
Cliff Pondexter,California
Cliff Robinson,California
Clifford Lett,Florida
Clifford Ray,South Carolina
Clifford Robinson,California
Clifford Rozier,Florida
Clint McDaniel,Oklahoma
Clint Richardson,Washington
Clint Wager,Minnesota
Clinton Smith,Ohio
Clinton Wheeler,New Jersey
Clyde Drexler*,Louisiana
