Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mehmet Okur,C,31,UTA,13,168,12.6,0.452,0.258,0.323,6.4,15.2,10.8,17.7,1.3,1.9,9,21.2,0.1,0.1,0.2,0.048,-1.3,-1.5,-2.8,0
Larry Owens,SF,28,TOT,12,143,11.2,0.556,0.406,0.281,0.8,11.4,6,8.4,3.2,2.7,12.2,12.7,0.1,0.2,0.2,0.083,-1.8,2.4,0.6,0.1
Kevin Séraphin,PF,21,WAS,58,635,8.4,0.479,0,0.211,13.9,13.4,13.7,2.4,1.4,3.4,20.7,14.1,-0.2,0.5,0.2,0.017,-5.8,-1,-6.9,-0.8
Etan Thomas,C,32,ATL,13,82,15.1,0.58,0,0.714,8.9,24.8,16.9,3.9,0.7,3.7,15.3,18.9,0.1,0.1,0.2,0.13,-1.9,0.3,-1.7,0
Willie Warren,PG,21,LAC,19,134,10.8,0.48,0.429,0.229,0.9,9.5,5.2,30.4,2.3,0,17.2,15.5,0.1,0.1,0.2,0.065,-2.4,-0.3,-2.7,0
Mario West,SG,26,NJN,6,116,9.1,0.474,0.19,0.238,2,9.4,5.6,13.2,3.2,0,7.9,10.1,0.1,0.1,0.2,0.069,-5.5,1.3,-4.2,-0.1
Jason Williams,PG,35,TOT,27,295,8.4,0.403,0.567,0,1.2,10.6,6,25.1,2,0.3,21.2,13.2,-0.2,0.4,0.2,0.031,-2.3,0.7,-1.6,0
Renaldo Balkman,SF,26,TOT,8,62,9.3,0.542,0.154,0.308,3.7,9.1,6.5,4.7,3.2,2.4,6.3,11.3,0.1,0.1,0.1,0.114,-5,0.9,-4.1,0
DeMarre Carroll,PF,24,TOT,12,50,8.7,0.388,0,0.167,4.7,14.5,9.6,10.7,1,1.6,0,11.6,0,0,0.1,0.066,-2.9,-0.5,-3.5,0
Dan Gadzuric,C-PF,32,TOT,42,463,9.9,0.419,0.008,0.209,17.2,16.4,16.8,4.5,1.4,4.8,17.1,16.5,-0.3,0.4,0.1,0.014,-5.7,-1.3,-7,-0.6
Danny Green,SG,23,SAS,8,92,13.2,0.586,0.543,0,3.9,14.8,9.5,3.6,1.1,0.8,12.5,20,0,0.1,0.1,0.076,0.1,-0.7,-0.6,0
Damion James,SF,23,NJN,25,403,10.1,0.477,0.029,0.272,4.8,20.5,12.5,8.1,2.1,2.3,17.8,16.2,-0.4,0.5,0.1,0.015,-3.8,1.1,-2.6,-0.1
Sean Marks,C,35,POR,29,208,4.9,0.473,0.045,0.182,9,14.8,11.8,2.9,0.8,2,18.8,13.1,-0.1,0.2,0.1,0.019,-7.3,-0.8,-8.1,-0.3
Hamady N'Diaye,C,24,WAS,16,80,5.3,0.681,0,2.4,2.8,7.4,5,0,1.3,4.8,22.6,7.3,0,0,0.1,0.046,-6.9,0.6,-6.3,-0.1
Chris Quinn,PG,27,SAS,41,292,7.5,0.428,0.407,0.088,1.2,8.5,5,21.1,0.9,0.2,11.3,16.8,-0.1,0.2,0.1,0.024,-3.4,-0.9,-4.3,-0.2
Michael Redd,SG,31,MIL,10,134,9.7,0.47,0.378,0.089,0,7.1,3.5,15.6,0.8,0.6,7.9,17.7,0,0.1,0.1,0.048,-2.6,-1.4,-4,-0.1
Brian Scalabrine,PF,32,CHI,18,88,6.5,0.526,0.263,0,1.4,9.1,5.3,10.4,1.8,3.5,20.8,12.5,0,0.2,0.1,0.071,-6.5,2.7,-3.8,0
Garret Siler,C,24,PHO,21,101,13.5,0.553,0,0.71,18.3,13.7,16,4.7,0.5,2.9,19.7,22.6,0.1,0.1,0.1,0.054,-3.5,-2.3,-5.8,-0.1
Jermaine Taylor,SG,24,TOT,34,483,12.2,0.535,0.23,0.143,6,8.7,7.3,11.1,1.5,0.7,18.1,22.9,-0.1,0.3,0.1,0.014,-1.4,-2.2,-3.6,-0.2
Sebastian Telfair,PG,25,MIN,37,711,10.5,0.497,0.324,0.249,2.6,5.9,4.2,24.2,1.7,0.3,19.3,19.9,0,0.2,0.1,0.008,-1.9,-1.6,-3.5,-0.3
Maurice Ager,SG,26,MIN,4,29,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,0,0,0,-0.015,-0.9,0.2,-0.7,0
Marcus Banks,PG,29,TOR,3,22,6.8,0.543,0,4,0,5.5,2.7,17.2,2.3,0,26.6,15.3,0,0,0,0.011,-6.6,0.1,-6.5,0
Marcus Cousin,C,24,UTA,4,18,7.8,0.667,0,0,0,20.3,10.1,0,0,4.5,25,10.2,0,0,0,0.008,-4.3,-2.7,-7.1,0
Antonio Daniels,PG,35,PHI,4,35,6.7,0.51,0.4,0.4,0,16.5,8.2,7.9,0,0,14.5,9.1,0,0,0,0.044,-4.8,-1.1,-6,0
Ronald Dupree,SF,30,TOR,3,13,0.5,0.25,0.25,0,0,28,13.7,10.7,0,0,0,13.8,0,0,0,-0.094,-7.3,-2.7,-10,0
Joey Graham,SF,28,CLE,39,586,7.7,0.518,0.168,0.201,1.5,15.3,8.2,5.2,0.5,0.9,12.6,17.2,-0.2,0.1,0,-0.004,-4.5,-1.3,-5.8,-0.6
Orien Greene,SG,28,NJN,3,5,33,0.521,0,1,0,0,0,37.8,10.7,0,0,26.7,0,0,0,0.293,6,9.1,15.1,0
Manny Harris,SG,21,CLE,54,933,10.4,0.486,0.318,0.322,4.3,13.2,8.6,14.8,1.7,0.6,16,19.1,-0.4,0.4,0,0.002,-2.3,-1.2,-3.5,-0.4
Mike Harris,PF,27,HOU,4,16,17.9,0.515,0,0.667,14.1,21.3,17.7,10.2,0,4.3,11.4,24.2,0,0,0,0.102,-2.3,-0.2,-2.4,0
Trey Johnson,SG,26,TOT,8,94,8.3,0.455,0.091,0.303,2.5,6.5,4.4,17.4,0.5,0.8,11.8,20.2,0,0,0,-0.009,-4.1,-2.3,-6.4,-0.1
Dominique Jones,SG,22,DAL,18,135,10.6,0.4,0.089,0.378,5.4,15.9,10.8,20.8,1.9,1.7,16,21.7,-0.2,0.2,0,0.007,-2.5,1.6,-0.9,0
Gani Lawal,PF,22,PHO,1,2,-9.1,,,,0,0,0,0,0,0,,0,0,0,0,-0.009,-16.9,1.9,-15,0
John Lucas III,PG,28,CHI,2,10,-0.1,0.258,0.333,0.667,0,0,0,15,0,0,0,17.8,0,0,0,-0.121,-6.3,-3.3,-9.6,0
Pops Mensah-Bonsu,PF,27,NOH,7,35,-0.1,0.333,0,0,10.4,28,19.1,8,0,0,40,6.8,0,0,0,0.013,-9.1,0.7,-8.4,-0.1
Fabricio Oberto,C,35,POR,5,45,0.8,0.595,0,0.4,7.8,11.4,9.5,0,0,0,33.8,9.2,0,0,0,-0.012,-8.7,-1.6,-10.3,-0.1
